族語	中文翻譯	從語料庫移除	音檔
a’am	粥	保留	Sakizaya_A2-1-1.mp3
abala	肩膀	保留	Sakizaya_A2-1-2.mp3
aca	又；再；也	保留	Sakizaya_A2-1-3.mp3
acawa	丈夫；先生；妻子；太太；配偶	保留	Sakizaya_A2-1-4.mp3
adidi	小	保留	Sakizaya_A2-1-5.mp3
adidik	小（年紀）	保留	Sakizaya_A2-1-6.mp3
adiding	一點點；少	保留	Sakizaya_A2-1-7.mp3
adipapang	蝴蝶	保留	Sakizaya_A2-1-8.mp3
adiwawa	孩童	保留	Sakizaya_A2-1-9.mp3
ahcid	鹹	保留	Sakizaya_A2-1-10.mp3
ahmaw	輕（重量）	保留	Sakizaya_A2-1-11.mp3
akenek	苦	保留	Sakizaya_A2-1-13.mp3
aledah	辣	保留	Sakizaya_A2-1-15.mp3
ama	父親：岳父	保留	Sakizaya_A2-1-16.mp3
ancila	明天	保留	Sakizaya_A2-1-17.mp3
anu	如果	保留	Sakizaya_A2-1-18.mp3
anucila	後天	保留	Sakizaya_A2-1-19.mp3
anuyaan	何時（表未來）	保留	Sakizaya_A2-1-20.mp3
atay	肝臟	保留	Sakizaya_A2-1-22.mp3
atu	和；與	保留	Sakizaya_A2-1-24.mp3
awang	痛	保留	Sakizaya_A2-1-25.mp3
awuk	竹子	保留	Sakizaya_A2-1-26.mp3
awza; tayni	來	保留	Sakizaya_A2-1-27.mp3
ayam	鳥	保留	Sakizaya_A2-1-28.mp3
ayaw	之前；前面；前方	保留	Sakizaya_A2-1-29.mp3
ayza	現在	保留	Sakizaya_A2-1-30.mp3
ayza a demi’ad	今天	保留	Sakizaya_A2-1-31.mp3
babalaki	老人；長者	保留	Sakizaya_A2-2-1.mp3
badahung	屋頂	保留	Sakizaya_A2-2-2.mp3
baeket	重	保留	Sakizaya_A2-2-3.mp3
baetu/ba’tu	石頭	保留	Sakizaya_A2-2-4.mp3
bahel	飛	保留	Sakizaya_A2-2-5.mp3
bayi	祖母；外婆；女性長者	保留	Sakizaya_A2-2-6.mp3
bakan	番刀；獵刀	保留	Sakizaya_A2-2-7.mp3
baki	祖父；外公；男性長者	保留	Sakizaya_A2-2-8.mp3
balaki	長大	保留	Sakizaya_A2-2-10.mp3
balangbangan	秋天	保留	Sakizaya_A2-2-11.mp3
balaut	青蛙	保留	Sakizaya_A2-2-12.mp3
bali	風	保留	Sakizaya_A2-2-13.mp3
baliyus	颱風	保留	Sakizaya_A2-2-14.mp3
balu	花朵	保留	Sakizaya_A2-2-15.mp3
baluhang	胸部	保留	Sakizaya_A2-2-17.mp3
baluhay	新的	保留	Sakizaya_A2-2-18.mp3
balunga	船	保留	Sakizaya_A2-2-19.mp3
bangcal	漂亮；美麗	保留	Sakizaya_A2-2-20.mp3
banges	皮；皮膚	保留	Sakizaya_A2-2-21.mp3
banuh	毛	保留	Sakizaya_A2-2-22.mp3
batad	遠	保留	Sakizaya_A2-2-23.mp3
bau	蛇	保留	Sakizaya_A2-2-24.mp3
bayu	海	保留	Sakizaya_A2-2-25.mp3
beded	蜻蜓	保留	Sakizaya_A2-2-26.mp3
belac	米	保留	Sakizaya_A2-2-27.mp3
besuc	直	保留	Sakizaya_A2-2-28.mp3
bihid	臉	保留	Sakizaya_A2-2-29.mp3
bilbil	嘴唇	保留	Sakizaya_A2-2-31.mp3
bili	肚子	保留	Sakizaya_A2-2-32.mp3
bituka	胃	保留	Sakizaya_A2-2-33.mp3
bucul	箭	保留	Sakizaya_A2-2-34.mp3
buhang	洞穴	保留	Sakizaya_A2-2-35.mp3
bukes	頭髮	保留	Sakizaya_A2-2-36.mp3
bulad	月亮	保留	Sakizaya_A2-2-37.mp3
bunac	星星	保留	Sakizaya_A2-2-39.mp3
buting	魚	保留	Sakizaya_A2-2-40.mp3
caang	樹枝	保留	Sakizaya_A2-3-1.mp3
caay	不；不是	保留	Sakizaya_A2-3-2.mp3
cabay	朋友	保留	Sakizaya_A2-3-3.mp3
cacay	一	保留	Sakizaya_A2-3-4.mp3
cacay a bataan	十	保留	Sakizaya_A2-3-5.mp3
cacay a lasubu	一百	保留	Sakizaya_A2-3-6.mp3
cacay a malebut	一千	刪除	Sakizaya_A2-3-7.mp3
calamay	霧	保留	Sakizaya_A2-3-7.mp3
calaped	褲子	保留	Sakizaya_A2-3-8.mp3
calkaka	兄弟姐妹；堂、表兄弟姐妹	保留	Sakizaya_A2-3-9.mp3
canan	什麼	保留	Sakizaya_A2-3-10.mp3
capi	近	保留	Sakizaya_A2-3-11.mp3
cihek	鼻子	保留	Sakizaya_A2-3-12.mp3
cikah	鹽	保留	Sakizaya_A2-3-13.mp3
cilal	太陽	保留	Sakizaya_A2-3-14.mp3
cilekay	蟲	保留	Sakizaya_A2-3-15.mp3
cilemin	酸	保留	Sakizaya_A2-3-16.mp3
cima; cimaan; nima	誰	保留	Sakizaya_A2-3-17.mp3
ciniza; cinizaan; niza	他	保留	Sakizaya_A2-3-18.mp3
cucu	乳房	保留	Sakizaya_A2-3-19.mp3
cuedet	冷	保留	Sakizaya_A2-3-20.mp3
cukap	鞋子；拖鞋	保留	Sakizaya_A2-3-21.mp3
cuwa	哪裡	保留	Sakizaya_A2-3-23.mp3
dacdac	蟬	保留	Sakizaya_A2-4-2.mp3
adipis	蟑螂	保留	Sakizaya_A2-4-3.mp3
dadisapan	海邊	保留	Sakizaya_A2-4-4.mp3
dadiw	歌；歌曲	保留	Sakizaya_A2-4-5.mp3
damay	髮菜	保留	Sakizaya_A2-4-7.mp3
daung	樹豆	保留	Sakizaya_A2-4-8.mp3
deku	貓頭鷹	保留	Sakizaya_A2-4-10.mp3
demi’ad	白天	保留	Sakizaya_A2-4-11.mp3
dietu	神；鬼；鬼魂	保留	Sakizaya_A2-4-12.mp3
dingki	照明	保留	Sakizaya_A2-4-13.mp3
duka	傷口	保留	Sakizaya_A2-4-14.mp3
duut	黑暗	保留	Sakizaya_A2-4-15.mp3
elun	椅子	保留	Sakizaya_A2-5-2.mp3
enem	六	保留	Sakizaya_A2-5-3.mp3
enem a bataan	六十	保留	Sakizaya_A2-5-4.mp3
epah	酒	保留	Sakizaya_A2-5-6.mp3
esus	屁	保留	Sakizaya_A2-5-7.mp3
habay	小米	保留	Sakizaya_A2-6-1.mp3
haymaw	慢慢	保留	Sakizaya_A2-6-2.mp3
hang	可以；是的	保留	Sakizaya_A2-6-4.mp3
haymawen	再見	保留	Sakizaya_A2-6-5.mp3
hekal	外面；外頭	保留	Sakizaya_A2-6-7.mp3
hemay	飯	保留	Sakizaya_A2-6-8.mp3
hina; sawsawni	經常	保留	Sakizaya_A2-6-9.mp3
hulam	漢人	保留	Sakizaya_A2-6-10.mp3
hulic	法律	保留	Sakizaya_A2-6-11.mp3
i cuwaay	哪一個	保留	Sakizaya_A2-7-1.mp3
i labu	裡面；內部	保留	Sakizaya_A2-7-2.mp3
i naci:la	前天	保留	Sakizaya_A2-7-3.mp3
i pabaw	上面；上方	保留	Sakizaya_A2-7-4.mp3
i sasa	下面；下方；低	保留	Sakizaya_A2-7-5.mp3
i tawya	當時	保留	Sakizaya_A2-7-6.mp3
i teban; laad; laed	中間；之間	保留	Sakizaya_A2-7-7.mp3
icelang	力量	保留	Sakizaya_A2-7-8.mp3
iduc	矛	保留	Sakizaya_A2-7-9.mp3
imelang	生病	保留	Sakizaya_A2-7-10.mp3
ina	母親；岳母	保留	Sakizaya_A2-7-11.mp3
inayay	沒有；不在	保留	Sakizaya_A2-7-12.mp3
ising	醫生(日語借字)	保留	Sakizaya_A2-7-13.mp3
izang	血；血液	保留	Sakizaya_A2-7-14.mp3
izaw	有；在	保留	Sakizaya_A2-7-15.mp3
kabi	湯	保留	Sakizaya_A2-8-1.mp3
kabus	蝦	保留	Sakizaya_A2-8-2.mp3
kai	不要	保留	Sakizaya_A2-8-3.mp3
kaka	哥哥；堂表兄弟	保留	Sakizaya_A2-8-4.mp3
kakabian	床舖	保留	Sakizaya_A2-8-5.mp3
kakana	姊姊；堂表姐妹	保留	Sakizaya_A2-8-6.mp3
kakawit	鐮刀	保留	Sakizaya_A2-8-7.mp3
kakeleng	雷	保留	Sakizaya_A2-8-8.mp3
kaku; aku; takuwan;takuwanan	我	保留	Sakizaya_A2-8-9.mp3
kalamkam	快速	保留	Sakizaya_A2-8-10.mp3
kalang	螃蟹	保留	Sakizaya_A2-8-11.mp3
kalapiyat	閃電	保留	Sakizaya_A2-8-12.mp3
kalisiw	錢	保留	Sakizaya_A2-8-13.mp3
kalitubah	葛鬱金	保留	Sakizaya_A2-8-14.mp3
kami; niyam; itamiyan	我們（排除式）	保留	Sakizaya_A2-8-15.mp3
kamu	語言	保留	Sakizaya_A2-8-16.mp3
kamu; namu; kamuwan; kamuwanan	你們	保留	Sakizaya_A2-8-17.mp3
kanas	籃子	保留	Sakizaya_A2-8-18.mp3
kanasaw	海膽	保留	Sakizaya_A2-8-19.mp3
kasienawan	冬天	保留	Sakizaya_A2-8-20.mp3
katalalan	牛	保留	Sakizaya_A2-8-21.mp3
kati/ ati	來；過來；叫人來	保留	Sakizaya_A2-8-22.mp3
katukuh	抵達；到達	保留	Sakizaya_A2-8-23.mp3
